2026-03-19 08:33:45.605 +01:00 [INF] Directory structure established. Logger is now writing to: C:\Users\jkino\Desktop\vFPC files\Historical Files\vFPC 2603\logs\log_19032026_0833.txt
2026-03-19 08:33:46.060 +01:00 [WRN] ConstraintValidator: Min 285 greater than Max 255 at line 19561 [at ConstraintValidator.cs::Validate]
2026-03-19 08:33:46.209 +01:00 [ERR] SctParser: Fix 'WTN' appears 2 times (allowed: 1). [at SctParser.cs::ValidateDuplicates]
2026-03-19 08:33:46.217 +01:00 [INF] SctParser: Completed parse – 4586 unique fixes. [at SctParser.cs::Parse]
2026-03-19 08:33:46.218 +01:00 [INF] [FixRepoBuilder] SCT parse produced 4586 fixes [at FixRepositoryBuilder.cs::LoadSctWithJson]
2026-03-19 08:33:46.318 +01:00 [WRN] InJsonLoader: Fix 'ESHIN' is in the in.json fixes section but already has coordinates (53.57700, -0.30362) — likely loaded from the SCT. The override may not be needed. [at InJsonLoader.cs::LoadFromJson]
2026-03-19 08:33:46.356 +01:00 [INF] Loaded AIP segment index: 1337 segments (AIRAC 2026-03-19). [at Program.cs::LoadMcResolver]
2026-03-19 08:33:46.359 +01:00 [INF] McPreProcessor: resolving 4626 MC row(s). [at McPreProcessor.cs::Resolve]
2026-03-19 08:33:46.426 +01:00 [INF] McPreProcessor: 4626/4626 resolved — 100%. [at McPreProcessor.cs::Resolve]
2026-03-19 08:33:50.044 +01:00 [WRN] FixResolver: Missing fix 'ACAGE'. RawInput='ACAGE' (Line -1) [at FixResolver.cs::LogMissingFix]
2026-03-19 08:33:50.064 +01:00 [WRN] FixResolver: Missing fix 'ACAGE'. RawInput='ACAGE' (Line -1) [at FixResolver.cs::LogMissingFix]
2026-03-19 08:33:50.081 +01:00 [WRN] FixResolver: Missing fix 'ACAGE'. RawInput='ACAGE' (Line -1) [at FixResolver.cs::LogMissingFix]
2026-03-19 08:33:50.095 +01:00 [WRN] FixResolver: Missing fix 'ACAGE'. RawInput='ACAGE' (Line -1) [at FixResolver.cs::LogMissingFix]
2026-03-19 08:33:50.159 +01:00 [WRN] FixResolver: Missing fix 'ACAGE'. RawInput='ACAGE' (Line -1) [at FixResolver.cs::LogMissingFix]
2026-03-19 08:33:50.171 +01:00 [WRN] FixResolver: Missing fix 'ACAGE'. RawInput='ACAGE' (Line -1) [at FixResolver.cs::LogMissingFix]
2026-03-19 08:33:50.182 +01:00 [WRN] FixResolver: Missing fix 'ACAGE'. RawInput='ACAGE' (Line -1) [at FixResolver.cs::LogMissingFix]
2026-03-19 08:33:50.189 +01:00 [WRN] FixResolver: Missing fix 'ACAGE'. RawInput='ACAGE' (Line -1) [at FixResolver.cs::LogMissingFix]
2026-03-19 08:33:50.285 +01:00 [WRN] FixResolver: Missing fix 'AKOMU'. RawInput='AKOMU' (Line -1) [at FixResolver.cs::LogMissingFix]
2026-03-19 08:33:50.285 +01:00 [WRN] FixResolver: Missing fix 'AKOMU'. RawInput='AKOMU' (Line -1) [at FixResolver.cs::LogMissingFix]
2026-03-19 08:33:50.287 +01:00 [WRN] FixResolver: Missing fix 'ADZOP'. RawInput='ADZOP' (Line -1) [at FixResolver.cs::LogMissingFix]
2026-03-19 08:33:50.288 +01:00 [WRN] FixResolver: Missing fix 'AKOMU'. RawInput='AKOMU' (Line -1) [at FixResolver.cs::LogMissingFix]
2026-03-19 08:33:50.289 +01:00 [WRN] FixResolver: Missing fix 'AKOMU'. RawInput='AKOMU' (Line -1) [at FixResolver.cs::LogMissingFix]
2026-03-19 08:33:50.314 +01:00 [WRN] FixResolver: Missing fix 'AKOMU'. RawInput='AKOMU' (Line -1) [at FixResolver.cs::LogMissingFix]
2026-03-19 08:33:50.323 +01:00 [WRN] FixResolver: Missing fix 'TINDI'. RawInput='TINDI' (Line -1) [at FixResolver.cs::LogMissingFix]
